UTC, Time, Position x, Position y, Position z, Rotation x, Rotation y, Rotation z, Velocity x, Velocity y, Velocity z, Throttle, Brake, Steering, SceneNr, CarSpawned, PedSpawned, CollidedWithBystander, CollidedWithTarget
2023-02-21 10:20:33:070,5577.031,0,0.3232979, 2.384186E-07,0,0,0,0,-0.5886,0,0,0,0,1, False, False,0, False
2023-02-21 10:20:33:197,5577.031,0,0.3232979, 2.384186E-07,0,0,0,0,-0.5886,0,0,0,-0.1243,1, False, False,0, False
2023-02-21 10:20:33:612,5577.05,0,0.3232979, 2.384186E-07,0,0,0,0,-0.7848,0,0,0,-0.1243,1, False, False,0, False
2023-02-21 10:20:33:658,5577.1,0,0.3232979, 2.384186E-07,0,0,0,0,-1.3734,0,0,0,-0.004399975,1, False, False,0, False
2023-02-21 10:20:33:705,5577.149,0,0.3232979, 2.384186E-07,0,0,0,0,-1.7658,0,0,0,0.01880002,1, False, False,0, False
2023-02-21 10:20:33:751,5577.196,0,0.3232979, 2.384186E-07,0,0,0,0,-2.1582,0,0,0,0.03530002,1, False, False,0, False
2023-02-21 10:20:33:796,5577.241,0,0.3232979, 2.384186E-07,0,0,0,0,-2.7468,0,0,0,0.04120002,1, False, False,0, False
2023-02-21 10:20:33:836,5577.281,0,0.3232979, 2.384186E-07,0,0,0,0,-3.139199,0,0,0,0.04080002,1, False, False,0, False
2023-02-21 10:20:33:881,5577.326,0,0.3232979, 2.384186E-07,0,0,0,0,-3.531599,0,0,0,0.03830002,1, False, False,0, False
2023-02-21 10:20:33:923,5577.369,0,0.3232979, 2.384186E-07,0,0,0,0,-3.923999,0,0,0,0.03480002,1, False, False,0, False
2023-02-21 10:20:33:967,5577.411,0,0.3232979, 2.384186E-07,0,0,0,-0.00476536,-3.678531,-0.007694982,0,0,0.03190003,1, False, False,0, False
2023-02-21 10:20:34:011,5577.455,0,0.3232979, 2.384186E-07,0,0,0,-0.001101909,-1.802325,-0.0110199,0,0,0.02820002,1, False, False,0, False
2023-02-21 10:20:34:055,5577.499,0,0.3232979, 2.384186E-07,0,0,0,0.007401531,0.6297477,0.08494439,0,0,0.02400002,1, False, False,0, False
2023-02-21 10:20:34:099,5577.542,0,0.3232979, 2.384186E-07,0,0,0,0.001356727,2.080688,0.06247961,0,0,0.01960002,1, False, False,0, False
2023-02-21 10:20:34:143,5577.585,0,0.3232979, 2.384186E-07,0,0,0,0.001932052,1.90211,0.0519968,0,0,0.01590003,1, False, False,0, False
2023-02-21 10:20:34:187,5577.629,0,0.3232979, 2.384186E-07,0,0,0,0.001932052,1.50971,0.0519968,0,0,0.01390002,1, False, False,0, False
2023-02-21 10:20:34:230,5577.673,0,0.3232979, 2.384186E-07,0,0,0,0.001932052,1.11731,0.0519968,0,0,0.01380002,1, False, False,0, False
2023-02-21 10:20:34:274,5577.717,0,0.3232979, 2.384186E-07,0,0,0,0.001932052,0.7249097,0.0519968,0,0,0.01380002,1, False, False,0, False
2023-02-21 10:20:34:318,5577.76,0,0.3232979, 2.384186E-07,0,0,0,0.001932052,0.1363096,0.0519968,0,0,0.01380002,1, False, False,0, False
2023-02-21 10:20:34:361,5577.804,0,0.3232979, 2.384186E-07,0,0,0,0.001932052,-0.2560903,0.0519968,0,0,0.01380002,1, False, False,0, False
2023-02-21 10:20:34:404,5577.847,0,0.3232979, 2.384186E-07,0,0,0,0.001932052,-0.6484904,0.0519968,0,0,0.01380002,1, False, False,0, False
2023-02-21 10:20:34:447,5577.89,0,0.3232979, 2.384186E-07,0,0,0,0.001932052,-1.04089,0.0519968,0,0,0.01380002,1, False, False,0, False
2023-02-21 10:20:34:491,5577.934,0,0.3232979, 2.384186E-07,0,0,0,0.001932052,-1.43329,0.0519968,0,0,0.01380002,1, False, False,0, False
2023-02-21 10:20:34:534,5577.977,0,0.3232979, 2.384186E-07,0,0,0,0.007159374,-1.501324,0.04383607,0,0,0.01380002,1, False, False,0, False
2023-02-21 10:20:34:578,5578.021,0,0.3232979, 2.384186E-07,0,0,0,0.004212638,-0.680643,0.04410098,0,0,0.01380002,1, False, False,0, False
2023-02-21 10:20:34:623,5578.064,0,0.3232979, 2.384186E-07,0,0,0,0.002812311,-0.02466182,0.04031637,0,0,0.01380002,1, False, False,0, False
2023-02-21 10:20:34:665,5578.107,0,0.3232979, 2.384186E-07,0,0,0,0.001218896,0.4703767,0.03159221,0,0,0.01380002,1, False, False,0, False
2023-02-21 10:20:34:709,5578.151,0,0.3232979, 2.384186E-07,0,0,0,-0.000295416,0.7018505,0.01959333,0,0,0.01380002,1, False, False,0, False
2023-02-21 10:20:34:752,5578.195,0,0.3232979, 2.384186E-07,0,0,0,-0.001561974,0.6788691,0.005240239,0,0,0.01380002,1, False, False,0, False
2023-02-21 10:20:34:796,5578.239,0,0.3232979, 2.384186E-07,0,0,0,-0.002106258,0.4791949,-0.009806212,0,0,0.01380002,1, False, False,0, False
2023-02-21 10:20:34:840,5578.282,0,0.3232979, 2.384186E-07,0,0,0,-0.001837816,0.07172339,-0.02752368,0,0,0.01380002,1, False, False,0, False
2023-02-21 10:20:34:883,5578.326,0,0.3232979, 2.384186E-07,0,0,0,-0.001168189,-0.1507783,-0.0282871,0,0,0.01380002,1, False, False,0, False
2023-02-21 10:20:34:927,5578.37,0,0.3232979, 2.384186E-07,0,0,0,-0.000221607,-0.2756147,-0.02051369,0,0,0.01380002,1, False, False,0, False
2023-02-21 10:20:34:971,5578.414,0,0.3232979, 2.384186E-07,0,0,0,0.000676744,-0.2938079,-0.008793848,0,0,0.01380002,1, False, False,0, False
2023-02-21 10:20:35:015,5578.458,0,0.3232979, 2.384186E-07,0,0,0,0.001236831,-0.2258216,0.003232043,0,0,0.01380002,1, False, False,0, False
2023-02-21 10:20:35:059,5578.501,0,0.3232979, 2.384186E-07,0,0,0,0.001321252,-0.05118378,0.01562792,0,0,0.01380002,1, False, False,0, False
2023-02-21 10:20:35:102,5578.545,0,0.3232979, 2.384186E-07,0,0,0,0.000904953,0.05069837,0.01740114,0,0,0.01380002,1, False, False,0, False
2023-02-21 10:20:35:147,5578.589,0,0.3232979, 2.384186E-07,0,0,0,0.000355889,0.1113103,0.01466122,0,0,0.01380002,1, False, False,0, False
2023-02-21 10:20:35:191,5578.633,0,0.3232979, 2.384186E-07,0,0,0,-0.000181578,0.1249904,0.008782985,0,0,0.01380002,1, False, False,0, False
2023-02-21 10:20:35:235,5578.677,0,0.3232979, 2.384186E-07,0,0,0,-0.0005649,0.1014457,0.001733887,0,0,0.01380002,1, False, False,0, False
2023-02-21 10:20:35:279,5578.721,0,0.3232979, 2.384186E-07,0,0,0,-0.000726572,0.03402728,-0.006826012,0,0,0.01380002,1, False, False,0, False
2023-02-21 10:20:35:323,5578.765,0,0.3232979, 2.384186E-07,0,0,0,-0.000614544,-0.009642512,-0.009513737,0,0,0.01380002,1, False, False,0, False
2023-02-21 10:20:35:367,5578.81,0,0.3232979, 2.384186E-07,0,0,0,-0.000382769,-0.0388636,-0.009548419,0,0,0.01380002,1, False, False,0, False
2023-02-21 10:20:35:411,5578.854,0,0.3232979, 2.384186E-07,0,0,0,-0.000106928,-0.0492136,-0.007354738,0,0,0.01380002,1, False, False,0, False
2023-02-21 10:20:35:455,5578.898,0,0.3232979, 2.384186E-07,0,0,0,0.000141895,-0.04300959,-0.003835129,0,0,0.01380002,1, False, False,0, False
