UTC, Time, Position x, Position y, Position z, Rotation x, Rotation y, Rotation z, Velocity x, Velocity y, Velocity z, Throttle, Brake, Steering, SceneNr, CarSpawned, PedSpawned
2022-10-28 11:48:10:584, 12138.07, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -0.5886, 0, 0, 0, 0, 1, False, False
2022-10-28 11:48:10:721, 12138.07, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -0.5886, 0, 0, 0, 0.01070002, 1, False, False
2022-10-28 11:48:11:061, 12138.09, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -0.7848, 0, 0, 0, 0.01070002, 1, False, False
2022-10-28 11:48:11:107, 12138.14, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -1.3734, 0, 0, 0, 0.01210003, 1, False, False
2022-10-28 11:48:11:156, 12138.19, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -1.7658, 0, 0, 0, 0.007000025, 1, False, False
2022-10-28 11:48:11:204, 12138.24, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -2.1582, 0, 0, 0, -0.0005999747, 1, False, False
2022-10-28 11:48:11:250, 12138.29, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -2.7468, 0, 0, 0, -0.001399975, 1, False, False
2022-10-28 11:48:11:295, 12138.33, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -3.139199, 0, 0, 0, -0.001399975, 1, False, False
2022-10-28 11:48:11:336, 12138.37, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -3.531599, 0, 0, 0, -0.001399975, 1, False, False
2022-10-28 11:48:11:379, 12138.42, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -3.923999, 0, 0, 0, -0.001399975, 1, False, False
2022-10-28 11:48:11:423, 12138.46, 0, 0.3232979, 2.384186E-07, 0, 0, 0, -0.005191775, -3.678531, -0.007672935, 0, 0, -0.001399975, 1, False, False
2022-10-28 11:48:11:467, 12138.5, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.00634891, -0.4272279, 0.09396948, 0, 0, -0.001399975, 1, False, False
