UTC, Time, Position x, Position y, Position z, Rotation x, Rotation y, Rotation z, Velocity x, Velocity y, Velocity z, Throttle, Brake, Steering, SceneNr, CarSpawned, PedSpawned, CollidedWithBystander, CollidedWithTarget
2023-02-21 16:39:24:511, 28156.37, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -0.7848, 0, 0, 0, 0, 1, False, False, 0, False
2023-02-21 16:39:24:652, 28156.37, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -0.7848, 0, 0, 0, 0.02390002, 1, False, False, 0, False
2023-02-21 16:39:25:007, 28156.39, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -0.981, 0, 0, 0, 0.02390002, 1, False, False, 0, False
2023-02-21 16:39:25:062, 28156.46, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -1.5696, 0, 0, 0, 0.01870002, 1, False, False, 0, False
2023-02-21 16:39:25:104, 28156.5, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -1.962, 0, 0, 0, 0.01790003, 1, False, False, 0, False
2023-02-21 16:39:25:161, 28156.56, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -2.5506, 0, 0, 0, 0.01740002, 1, False, False, 0, False
2023-02-21 16:39:25:195, 28156.59, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -2.943, 0, 0, 0, 0.01740002, 1, False, False, 0, False
2023-02-21 16:39:25:243, 28156.64, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -3.335399, 0, 0, 0, 0.01740002, 1, False, False, 0, False
2023-02-21 16:39:25:289, 28156.69, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -3.923999, 0, 0, 0, 0.01740002, 1, False, False, 0, False
2023-02-21 16:39:25:324, 28156.72, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -4.120199, 0, 0, 0, 0.01740002, 1, False, False, 0, False
2023-02-21 16:39:25:368, 28156.76, 0, 0.3232979, 2.384186E-07, 0, 0, 0, -0.001180154, -1.802329, -0.01108488, 0, 0, 0.01740002, 1, False, False, 0, False
2023-02-21 16:39:25:412, 28156.81, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.007182469, 0.6297445, 0.08495218, 0, 0, 0.01740002, 1, False, False, 0, False
2023-02-21 16:39:25:456, 28156.85, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.004068957, 1.864083, 0.07019247, 0, 0, 0.01740002, 1, False, False, 0, False
2023-02-21 16:39:25:500, 28156.89, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001050138, 2.039899, 0.05604632, 0, 0, 0.01740002, 1, False, False, 0, False
2023-02-21 16:39:25:544, 28156.94, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001821157, 1.705912, 0.05197962, 0, 0, 0.01740002, 1, False, False, 0, False
2023-02-21 16:39:25:588, 28156.98, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001821157, 1.117312, 0.05197962, 0, 0, 0.01740002, 1, False, False, 0, False
2023-02-21 16:39:25:632, 28157.03, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001821157, 0.7249123, 0.05197962, 0, 0, 0.01740002, 1, False, False, 0, False
2023-02-21 16:39:25:675, 28157.07, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001821157, 0.3325123, 0.05197962, 0, 0, 0.01740002, 1, False, False, 0, False
2023-02-21 16:39:25:719, 28157.11, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001821157, -0.05988774, 0.05197962, 0, 0, 0.01730002, 1, False, False, 0, False
2023-02-21 16:39:25:762, 28157.16, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001821157, -0.4522877, 0.05197962, 0, 0, 0.01610002, 1, False, False, 0, False
2023-02-21 16:39:25:806, 28157.2, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001821157, -1.040888, 0.05197962, 0, 0, 0.01490002, 1, False, False, 0, False
2023-02-21 16:39:25:850, 28157.24, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001821157, -1.433288, 0.05197962, 0, 0, 0.01350002, 1, False, False, 0, False
2023-02-21 16:39:25:893, 28157.29, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.007155122, -1.501325, 0.04381664, 0, 0, 0.01150003, 1, False, False, 0, False
2023-02-21 16:39:25:937, 28157.33, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.004795183, -1.005637, 0.04396752, 0, 0, 0.008200025, 1, False, False, 0, False
2023-02-21 16:39:25:981, 28157.38, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.003544908, -0.3444833, 0.04287295, 0, 0, 0.004400025, 1, False, False, 0, False
2023-02-21 16:39:26:024, 28157.42, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001991576, 0.2518862, 0.03650314, 0, 0, 0.002400025, 1, False, False, 0, False
2023-02-21 16:39:26:068, 28157.46, 0, 0.3232979, 2.384186E-07, 0, 0, 0, -0.0003435672, 0.7018479, 0.01959553, 0, 0, 0.001200025, 1, False, False, 0, False
2023-02-21 16:39:26:112, 28157.51, 0, 0.3232979, 2.384186E-07, 0, 0, 0, -0.00165767, 0.6788712, 0.005246173, 0, 0, 0.001200025, 1, False, False, 0, False
2023-02-21 16:39:26:156, 28157.55, 0, 0.3232979, 2.384186E-07, 0, 0, 0, -0.002220622, 0.4791985, -0.009796817, 0, 0, 0.001200025, 1, False, False, 0, False
2023-02-21 16:39:26:200, 28157.59, 0, 0.3232979, 2.384186E-07, 0, 0, 0, -0.002110048, 0.2060731, -0.02326012, 0, 0, 0.001200025, 1, False, False, 0, False
2023-02-21 16:39:26:244, 28157.64, 0, 0.3232979, 2.384186E-07, 0, 0, 0, -0.001582845, -0.04974501, -0.02921642, 0, 0, 0.001200025, 1, False, False, 0, False
2023-02-21 16:39:26:288, 28157.68, 0, 0.3232979, 2.384186E-07, 0, 0, 0, -0.0001782269, -0.2756119, -0.02051514, 0, 0, 0.001200025, 1, False, False, 0, False
2023-02-21 16:39:26:332, 28157.72, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.0007408689, -0.293808, -0.008798392, 0, 0, 0.001200025, 1, False, False, 0, False
2023-02-21 16:39:26:376, 28157.77, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001298951, -0.2258222, 0.003225687, 0, 0, 0.001200025, 1, False, False, 0, False
2023-02-21 16:39:26:420, 28157.81, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001450222, -0.1114445, 0.01274387, 0, 0, 0.001200025, 1, False, False, 0, False
2023-02-21 16:39:26:464, 28157.86, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001154381, 0.003954306, 0.01714156, 0, 0, 0.001200025, 1, False, False, 0, False
2023-02-21 16:39:26:508, 28157.9, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.000333238, 0.1113095, 0.01466111, 0, 0, 0.001200025, 1, False, False, 0, False
2023-02-21 16:39:26:552, 28157.95, 0, 0.3232979, 2.384186E-07, 0, 0, 0, -0.0002187821, 0.1249927, 0.008784905, 0, 0, 0.001200025, 1, False, False, 0, False
2023-02-21 16:39:26:596, 28157.99, 0, 0.3232979, 2.384186E-07, 0, 0, 0, -0.0006042953, 0.1014491, 0.001736994, 0, 0, 0.001200025, 1, False, False, 0, False
2023-02-21 16:39:26:640, 28158.03, 0, 0.3232979, 2.384186E-07, 0, 0, 0, -0.0007545518, 0.05787279, -0.004490707, 0, 0, 0.001600025, 1, False, False, 0, False
2023-02-21 16:39:26:684, 28158.08, 0, 0.3232979, 2.384186E-07, 0, 0, 0, -0.0007060552, 0.01095927, -0.008509566, 0, 0, 0.002300025, 1, False, False, 0, False
2023-02-21 16:39:26:729, 28158.12, 0, 0.3232979, 2.384186E-07, 0, 0, 0, -0.0003752723, -0.03886339, -0.009547739, 0, 0, 0.002400025, 1, False, False, 0, False
2023-02-21 16:39:26:773, 28158.17, 0, 0.3232979, 2.384186E-07, 0, 0, 0, -9.03044E-05, -0.04921415, -0.007355239, 0, 0, 0.002400025, 1, False, False, 0, False
2023-02-21 16:39:26:817, 28158.21, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.0001618743, -0.04300956, -0.003836392, 0, 0, 0.002400025, 1, False, False, 0, False
2023-02-21 16:39:26:861, 28158.26, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.0003245461, -0.02625871, -6.101083E-05, 0, 0, 0.002400025, 1, False, False, 0, False
2023-02-21 16:39:26:906, 28158.3, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.0003526356, 0.001777425, 0.004099, 0, 0, 0.002400025, 1, False, False, 0, False
