UTC, Time, Position x, Position y, Position z, Rotation x, Rotation y, Rotation z, Velocity x, Velocity y, Velocity z, Throttle, Brake, Steering, SceneNr, CarSpawned, PedSpawned, CollidedWithBystander, CollidedWithTarget
2023-02-21 10:45:41:907, 7075.438, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -0.3924, 0, 0, 0, 0, 1, False, False, 0, False
2023-02-21 10:45:42:043, 7075.438, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -0.3924, 0, 0, 0, -0.0008999747, 1, False, False, 0, False
2023-02-21 10:45:42:406, 7075.458, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -0.5886, 0, 0, 0, -0.0008999747, 1, False, False, 0, False
2023-02-21 10:45:42:455, 7075.508, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -1.1772, 0, 0, 0, 0.003500025, 1, False, False, 0, False
2023-02-21 10:45:42:501, 7075.556, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -1.5696, 0, 0, 0, 0.003600025, 1, False, False, 0, False
2023-02-21 10:45:42:548, 7075.604, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -2.1582, 0, 0, 0, 0.003600025, 1, False, False, 0, False
2023-02-21 10:45:42:593, 7075.648, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -2.5506, 0, 0, 0, 0.003600025, 1, False, False, 0, False
2023-02-21 10:45:42:634, 7075.689, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -2.943, 0, 0, 0, 0.003600025, 1, False, False, 0, False
2023-02-21 10:45:42:679, 7075.735, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -3.335399, 0, 0, 0, 0.003600025, 1, False, False, 0, False
2023-02-21 10:45:42:720, 7075.774, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -3.727799, 0, 0, 0, 0.003600025, 1, False, False, 0, False
2023-02-21 10:45:42:764, 7075.818, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -4.120199, 0, 0, 0, 0.003600025, 1, False, False, 0, False
2023-02-21 10:45:42:808, 7075.862, 0, 0.3232979, 2.384186E-07, 0, 0, 0, -0.001240895, -1.802329, -0.01114198, 0, 0, 0.003600025, 1, False, False, 0, False
2023-02-21 10:45:42:851, 7075.905, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.006983154, 0.6297523, 0.08496071, 0, 0, 0.003600025, 1, False, False, 0, False
2023-02-21 10:45:42:894, 7075.948, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.003917332, 1.864087, 0.07018037, 0, 0, 0.003600025, 1, False, False, 0, False
2023-02-21 10:45:42:938, 7075.991, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.0007605638, 2.0399, 0.05603813, 0, 0, 0.003600025, 1, False, False, 0, False
2023-02-21 10:45:42:981, 7076.035, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001500975, 1.705911, 0.05198096, 0, 0, 0.003600025, 1, False, False, 0, False
2023-02-21 10:45:43:024, 7076.078, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001500975, 1.313511, 0.05198096, 0, 0, 0.003600025, 1, False, False, 0, False
2023-02-21 10:45:43:068, 7076.121, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001500975, 0.7249113, 0.05198096, 0, 0, 0.003600025, 1, False, False, 0, False
2023-02-21 10:45:43:111, 7076.165, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001500975, 0.3325113, 0.05198096, 0, 0, 0.003600025, 1, False, False, 0, False
2023-02-21 10:45:43:154, 7076.208, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001500975, -0.05988869, 0.05198096, 0, 0, 0.003600025, 1, False, False, 0, False
2023-02-21 10:45:43:197, 7076.251, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001500975, -0.4522887, 0.05198096, 0, 0, 0.003600025, 1, False, False, 0, False
2023-02-21 10:45:43:241, 7076.294, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001500975, -0.8446887, 0.05198096, 0, 0, 0.003600025, 1, False, False, 0, False
2023-02-21 10:45:43:284, 7076.337, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001500975, -1.237089, 0.05198096, 0, 0, 0.003600025, 1, False, False, 0, False
