UTC, Time, Position x, Position y, Position z, Rotation x, Rotation y, Rotation z, Velocity x, Velocity y, Velocity z, Throttle, Brake, Steering, SceneNr, CarSpawned, PedSpawned
2022-10-27 17:11:42:427, 29835.08, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -0.5886, 0, 0, 0, 0, 1, False, False
2022-10-27 17:11:42:563, 29835.08, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -0.5886, 0, 0, 0, 0.1006, 1, False, False
2022-10-27 17:11:42:906, 29835.1, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -0.7848, 0, 0, 0, 0.07430002, 1, False, False
2022-10-27 17:11:42:954, 29835.15, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -1.1772, 0, 0, 0, -0.001699975, 1, False, False
2022-10-27 17:11:43:003, 29835.19, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -1.5696, 0, 0, 0, 0.001700025, 1, False, False
2022-10-27 17:11:43:051, 29835.24, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -2.1582, 0, 0, 0, 0.01000002, 1, False, False
2022-10-27 17:11:43:096, 29835.29, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -2.5506, 0, 0, 0, 0.01660002, 1, False, False
2022-10-27 17:11:43:138, 29835.33, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -2.943, 0, 0, 0, 0.01940002, 1, False, False
2022-10-27 17:11:43:184, 29835.38, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -3.335399, 0, 0, 0, 0.01940002, 1, False, False
2022-10-27 17:11:43:226, 29835.42, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0, -3.727799, 0, 0, 0, 0.01940002, 1, False, False
2022-10-27 17:11:43:270, 29835.46, 0, 0.3232979, 2.384186E-07, 0, 0, 0, -0.004975914, -3.678531, -0.007713791, 0, 0, 0.01940002, 1, False, False
2022-10-27 17:11:43:314, 29835.51, 0, 0.3232979, 2.384186E-07, 0, 0, 0, -0.001169737, -1.802325, -0.01106053, 0, 0, 0.01940002, 1, False, False
2022-10-27 17:11:43:358, 29835.55, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.007210387, 0.6297439, 0.08495066, 0, 0, 0.01940002, 1, False, False
2022-10-27 17:11:43:402, 29835.59, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.004090969, 1.864088, 0.07019369, 0, 0, 0.01940002, 1, False, False
2022-10-27 17:11:43:445, 29835.64, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001091914, 2.039908, 0.05604696, 0, 0, 0.02120003, 1, False, False
2022-10-27 17:11:43:489, 29835.68, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001873853, 1.50972, 0.05197819, 0, 0, 0.02460003, 1, False, False
2022-10-27 17:11:43:532, 29835.72, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001873853, 1.11732, 0.05197819, 0, 0, 0.03380002, 1, False, False
2022-10-27 17:11:43:576, 29835.77, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001873853, 0.7249197, 0.05197819, 0, 0, 0.04600002, 1, False, False
2022-10-27 17:11:43:619, 29835.81, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001873853, 0.3325197, 0.05197819, 0, 0, 0.05810002, 1, False, False
2022-10-27 17:11:43:663, 29835.86, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001873853, -0.05988035, 0.05197819, 0, 0, 0.06640002, 1, False, False
2022-10-27 17:11:43:706, 29835.9, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001873853, -0.4522803, 0.05197819, 0, 0, 0.06920002, 1, False, False
2022-10-27 17:11:43:750, 29835.94, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001873853, -1.04088, 0.05197819, 0, 0, 0.06850003, 1, False, False
2022-10-27 17:11:43:794, 29835.99, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001873853, -1.43328, 0.05197819, 0, 0, 0.06450003, 1, False, False
2022-10-27 17:11:43:838, 29836.03, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.007242186, -1.501344, 0.04376218, 0, 0, 0.05990002, 1, False, False
2022-10-27 17:11:43:882, 29836.07, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.004762475, -1.005668, 0.04394791, 0, 0, 0.05590002, 1, False, False
2022-10-27 17:11:43:926, 29836.12, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.003576524, -0.3445147, 0.04286827, 0, 0, 0.05150002, 1, False, False
2022-10-27 17:11:43:970, 29836.16, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.001354978, 0.470358, 0.03158824, 0, 0, 0.04880003, 1, False, False
2022-10-27 17:11:44:013, 29836.21, 0, 0.3232979, 2.384186E-07, 0, 0, 0, -8.369895E-05, 0.7018412, 0.01958218, 0, 0, 0.04620003, 1, False, False
2022-10-27 17:11:44:059, 29836.25, 0, 0.3232979, 2.384186E-07, 0, 0, 0, -0.001265264, 0.678876, 0.005217869, 0, 0, 0.04490002, 1, False, False
2022-10-27 17:11:44:101, 29836.29, 0, 0.3232979, 2.384186E-07, 0, 0, 0, -0.001814445, 0.479212, -0.009835846, 0, 0, 0.04490002, 1, False, False
2022-10-27 17:11:44:145, 29836.34, 0, 0.3232979, 2.384186E-07, 0, 0, 0, -0.001854179, 0.2060866, -0.02329571, 0, 0, 0.04490002, 1, False, False
2022-10-27 17:11:44:189, 29836.38, 0, 0.3232979, 2.384186E-07, 0, 0, 0, -0.001200896, -0.1507645, -0.02829356, 0, 0, 0.04490002, 1, False, False
2022-10-27 17:11:44:233, 29836.43, 0, 0.3232979, 2.384186E-07, 0, 0, 0, -0.0003411882, -0.2756066, -0.02051, 0, 0, 0.04490002, 1, False, False
2022-10-27 17:11:44:277, 29836.47, 0, 0.3232979, 2.384186E-07, 0, 0, 0, 0.0005185427, -0.2938104, -0.008782784, 0, 0, 0.04490002, 1, False, False
